WORDS AND STEMS OF URDU FILE AND THEIR ACCURACY
Stems	Words	
ہم	ہمیں
بچ	بچوں
سکھا	سکھانا
چاہئے،	چاہئے،
بلاشبہ	بلاشبہ
کیلئ	کیلئے
جائز	ناجائز
طریقہ	طریقہ
اختیار	اختیار
کرنا،	کرنا،
نظر	نظر
ہوسک	ہوسکتی
دن	دنیا
دیانت	بددیانت
علاوہ	علاوہ
خطاب	خطاب
مل	ملے
گا۔	گا۔
حقیقت	حقیقت
انسان	انسانوں
اجتماع	اجتماعی
شعور	شعوری
لیول	لیول
Infancy	Infancy
نفرت	نفرتوں
اوپر	اوپر
اٹھ	اٹھ
سک	سکے
ہمار	ہمارے
فرق	فرقے
رنگ	رنگ
جیس	جیسا
جیس	جیسی
بول	بولتا
،	،
قبیلہ	قبیلہ
نہیں،	نہیں،
شہر	شہر
تعلق	تعلق
صوب	صوبے
خط	خطے
ہے۔	ہے۔
حالانکہ	حالانکہ
1400	1400
سال	سال
پروردگار	پروردگار
عالم	عالم
دین	دین
پیغمبر	پیغمبر
اسلام	اسلام
ہاتھ	ہاتھوں
کمال	کمال
پہنچا	پہنچایا
اُن	اُن
Pragmatic	Pragmatic
حل	حل
۔	۔
عمل	عملی
مظاہرہ	مظاہرہ
بلال	بلال
حبش	حبشی
رض	رضی
بظاہر	بظاہر
عرب	عربی
تلفظ	تلفظ
صحیح	صحیح
گلدستہ	گلدستہ
اذان	اذان
پیغام	پیغام
پہنچا	پہنچانے
ذمہ	ذمہ
دار	داری
دےکر	دےکر
بتا	بتایا
ہمار	ہمارا
قید	قید
میں۔	میں۔
سلمان	سلمان
فارس	فارسی
قریب	قریب
کر	کرتے
ہوئ	ہوئے
کہ	کہا
اہل	اہل
بیت	بیت
کہہ	کہہ
محمد	محمدی
ب	بنا
نعر	نعرے
تفسیر	تفسیر
ہمار	ہماری
تعلیمات	تعلیمات
عجم	عجمی
النسل	النسل
ہو	ہونا
فخر	فخر
بات	بات
ذلت	ذلت
کی۔	کی۔
حیرت	حیرت
آقائ	آقائے
دو	دو
صل	صلی
علیہ	علیہ
وآلہ	وآلہ
وسلم	وسلم
(خاتم	(خاتم
النبیّن)	النبیّن)
مان	ماننے
وال	والے
ہو	ہونے
باوجود	باوجود
اب	اب
پر،	پر،
کمزوری	کمزوریوں
قاب	قابو
پاسکے؟	پاسکے؟
عبادات،	عبادات،
ریاضتیں،	ریاضتیں،
پرہیزگاری،	پرہیزگاری،
دین،	دین،
حقیق	حقیقی
سمجھ	سمجھے
بغیر	بغیر
ہے؟	ہے؟
اٹھ	اٹھک
بیٹھ	بیٹھک
سوال	سوال
خداوند	خداوند
متعال	متعال
قرآن	قرآن
مجید	مجید
وضاحت	وضاحت
فرماد	فرمادی
جس	جس
مفہوم	مفہوم
طرح	طرح
ہے۔تم	ہے۔تم
صرف	صرف
اقرار	اقرار
ایمان	ایمان
تمہار	تمہارے
دل	دل
گزر	گزرا
نہیں۔	نہیں۔
یعن	یعنی
زبان	زبانی
دِل	دِل
لا	لانے
فرق۔	فرق۔
جا	جانا
	جا
ہنس		جا
ہنسنا
دیکھ	دیکھنا
Accurate words are: 3 out of 3 words
Accuracy percentage is 100.0

WORDS AND STEMS OF STEM FILE WORDS
Stems	Words	
سب	سب
سے	سے
پہل	پہلے
تمام	تمام
پاکستانی	پاکستانیوں
کو	کو
عید	عید
کی	کی
مُبارک۔	مُبارک۔
ﷲ	ﷲ
پا	پاک
کا	کا
حام	حامی
و	و
صر	ناصر
ہو۔	ہو۔
آمین!	آمین!
م	میں
نے	نے
اپ	اپنے
ای	ایک
پچھل	پچھلے
کالم	کالم
حضرت	حضرت
شیخ	شیخ
سعد	سعدی
شیرازیؒ	شیرازیؒ
مشہور	مشہور
مقولہ	مقولہ
درج	درج
ک	کیا
تھ	تھا
جو	جو
کچھ	کچھ
ی	یوں
ہے	ہے
’’حضرت	’’حضرت
عیسیٰؑ	عیسیٰؑ
گدھ	گدھا
لاتعداد	لاتعداد
مرتبہ	مرتبہ
مکہ	مکہ
گ	گیا
مگر	مگر
جب	جب
بھ	بھی
واپس	واپس
آ	آیا
وہ	وہ
ہی	ہی
تھا‘‘،	تھا‘‘،
اس	اس
مطلب	مطلب
یہ	یہ
کہ	کہ
اگر	اگر
آپ	آپ
کردار	کردار
اخلاق	اخلاق
خراب	خراب
تو	تو
حج	حج
کر	کریں
یا	یا
زیارت	زیارت
ِمسجد	ِمسجد
نبو	نبوی
کے	کے
کردار،	کردار،
کوئ	کوئی
تبدیل	تبدیلی
نہ	نہ
آئ	آئے
گی	گی
جن	جن
لوگ	لوگوں
بچپن	بچپن
اچھ	اچھی
تربیت	تربیت
ہو	ہوتی
مر	مرتے
دم	دم
تک	تک
اعلیٰ	اعلیٰ
اقدار	اقدار
حامل	حامل
رہ	رہتے
ہیں۔	ہیں۔
ان	ان
خواہ	خواہ
غربت	غربت
اور	اور
مشکلات	مشکلات
سام	سامنا
کی	کیوں
کر	کرنا
پڑے۔	پڑے۔
دوست	دوست
نہایت	نہایت
نفیس،	نفیس،
ہدایت	ہدایت
آمیز	آمیز
واقعہ	واقعہ
واٹس	واٹس
ایپ	ایپ
پر	پر
بھیج	بھیجا
اوروہ	اوروہ
ات	اتنا
مفید	مفید
خدمت	خدمت
پیش	پیش
فرض	فرض
سمجھ	سمجھ
رہ	رہا
ہوں۔	ہوں۔
ہے
دوڑ	ہے
دوڑ
مقابل	مقابلوں
فنش	فنش
لائن	لائن
چند	چند
فٹ	فٹ
فاصل	فاصلے
کین	کینیا
ایتھلیٹ	ایتھلیٹ
عبدالمطیع	عبدالمطیع
آگ	آگے
تھا،	تھا،
سمجھ	سمجھا
دوڑ	دوڑ
جیت	جیت
چک	چکا
ہے،	ہے،
بالکل	بالکل
پیچھ	پیچھے
اسپین	اسپین
رَنر	رَنر
ایون	ایون
فرنانڈیز	فرنانڈیز
دیکھ	دیکھا
مطیع	مطیع
غلط	غلط
فہم	فہمی
بنیاد	بنیاد
رُ	رُک
اس	اسے
آواز	آواز
دی	دی
دوڑ	دوڑو
ابھ	ابھی
کراس	کراس
نہ	نہیں
ہوئی۔	ہوئی۔
زبان	زبان
سمجھ	سمجھتا
تھااس	تھااس
لئ	لئے
آئی،	آئی،
بہترین	بہترین
موقع	موقع
نکل	نکل
کر	کر
لی	لیتا
عجیب	عجیب
فیصلہ	فیصلہ
دھک	دھکا
دے	دے
پار	پار
کر	کروا
دیا۔	دیا۔
تماشائ	تماشائی
اسپورٹس	اسپورٹس
مین	مین
اسپرٹ	اسپرٹ
دنگ	دنگ
رہ	رہ
گئے،	گئے،
ہار	ہار
ہیر	ہیرو
بن	بن
تھا۔	تھا۔
صحاف	صحافی
بعد	بعد
پوچھ	پوچھا
تم	تم
کیا؟	کیا؟
جواب	جواب
د	دیا
’’	’’
میر	میرا
خواب	خواب
ہم	ہم
ایس	ایسا
معاشرہ	معاشرہ
قائم	قائم
جہ	جہاں
دوسر	دوسرے
اسلئ	اسلئے
تاکہ	تاکہ
سکے‘‘۔	سکے‘‘۔
پھر	پھر
پوچھا!	پوچھا!
’’مگر	’’مگر
جیت	جیتنے
دیا؟‘‘	دیا؟‘‘
’’م	’’میں
دیا،	دیا،
ویس	ویسے
اس	اسی
تھی‘‘۔	تھی‘‘۔
اصرار	اصرار
کیا،	کیا،
سک	سکتے
تھے۔	تھے۔
طرف	طرف
بول	بولا
’’اس	’’اس
اہمیت	اہمیت
ہوتی؟	ہوتی؟
میڈل	میڈل
عزت	عزت
میر	میری
م	ماں
میر	میرے
بار	بارے
سوچتی؟اقدار	سوچتی؟اقدار
نسل	نسل
در	در
منتقل	منتقل
ہیں،	ہیں،
ہم	ہمیں
بچ	بچوں
سکھا	سکھانا
چاہئے،	چاہئے،
بلاشبہ	بلاشبہ
کیلئ	کیلئے
جائز	ناجائز
طریقہ	طریقہ
اختیار	اختیار
کرنا،	کرنا،
نظر	نظر
ہوسک	ہوسکتی
دن	دنیا
دیانت	بددیانت
علاوہ	علاوہ
خطاب	خطاب
مل	ملے
گا۔	گا۔
حقیقت	حقیقت
انسان	انسانوں
اجتماع	اجتماعی
شعور	شعوری
لیول	لیول
Infancy	Infancy
نفرت	نفرتوں
اوپر	اوپر
اٹھ	اٹھ
سک	سکے
ہمار	ہمارے
فرق	فرقے
رنگ	رنگ
جیس	جیسا
جیس	جیسی
بول	بولتا
،	،
قبیلہ	قبیلہ
نہیں،	نہیں،
شہر	شہر
تعلق	تعلق
صوب	صوبے
خط	خطے
ہے۔	ہے۔
حالانکہ	حالانکہ
1400	1400
سال	سال
پروردگار	پروردگار
عالم	عالم
دین	دین
پیغمبر	پیغمبر
اسلام	اسلام
ہاتھ	ہاتھوں
کمال	کمال
پہنچا	پہنچایا
اُن	اُن
Pragmatic	Pragmatic
حل	حل
۔	۔
عمل	عملی
مظاہرہ	مظاہرہ
بلال	بلال
حبش	حبشی
رض	رضی
بظاہر	بظاہر
عرب	عربی
تلفظ	تلفظ
صحیح	صحیح
گلدستہ	گلدستہ
اذان	اذان
پیغام	پیغام
پہنچا	پہنچانے
ذمہ	ذمہ
دار	داری
دےکر	دےکر
بتا	بتایا
ہمار	ہمارا
قید	قید
میں۔	میں۔
سلمان	سلمان
فارس	فارسی
قریب	قریب
کر	کرتے
ہوئ	ہوئے
کہ	کہا
اہل	اہل
بیت	بیت
کہہ	کہہ
محمد	محمدی
ب	بنا
نعر	نعرے
تفسیر	تفسیر
ہمار	ہماری
تعلیمات	تعلیمات
عجم	عجمی
النسل	النسل
ہو	ہونا
فخر	فخر
بات	بات
ذلت	ذلت
کی۔	کی۔
حیرت	حیرت
آقائ	آقائے
دو	دو
صل	صلی
علیہ	علیہ
وآلہ	وآلہ
وسلم	وسلم
(خاتم	(خاتم
النبیّن)	النبیّن)
مان	ماننے
وال	والے
ہو	ہونے
باوجود	باوجود
اب	اب
پر،	پر،
کمزوری	کمزوریوں
قاب	قابو
پاسکے؟	پاسکے؟
عبادات،	عبادات،
ریاضتیں،	ریاضتیں،
پرہیزگاری،	پرہیزگاری،
دین،	دین،
حقیق	حقیقی
سمجھ	سمجھے
بغیر	بغیر
ہے؟	ہے؟
اٹھ	اٹھک
بیٹھ	بیٹھک
سوال	سوال
خداوند	خداوند
متعال	متعال
قرآن	قرآن
مجید	مجید
وضاحت	وضاحت
فرماد	فرمادی
جس	جس
مفہوم	مفہوم
طرح	طرح
ہے۔تم	ہے۔تم
صرف	صرف
اقرار	اقرار
ایمان	ایمان
تمہار	تمہارے
دل	دل
گزر	گزرا
نہیں۔	نہیں۔
یعن	یعنی
زبان	زبانی
دِل	دِل
لا	لانے
فرق۔	فرق۔
جا	جانا
	جا
ہنس		جا
ہنسنا
دیکھ	دیکھنا
ہف	ہفتا
آج	آج
گھنٹ	گھنٹا
بج	بجے
گھڑ	گھڑی
ہنس	ہنسنا
انگل	انگلی
پیٹھ	پیٹھ
چوس	چوسے
لاش	لاشے
مرغ	مرغے
دھڑک	دھڑکے
بھونک	بھونکے
سیکھ	سیکھنے
گِھس	گِھسا
جھک	جھکا
کانپ	کانپا
رو	روتا
چھو	چھوتا
خرچ	خرچا
بَچھڑ	بَچھڑا
جھک	جھکوں
سہ	سہیں
ذات	ذاتوں
شیخ	شیخوں
غار	غاروں
مار	ماروں
بال	بالوں
چور	چوروں
حور	حوروں
چہر	چہروں
سال	سالوں
لا	لاؤں
کھا	کھاؤں
جا	جاؤں
جان	جانوں
کاٹ	کاٹیں
ٹانگ	ٹانگیں
جاگ	جاگیں
مانجھ	مانجھیں
بھاگ	بھاگیں
تاجر	تاجراں
جھاڑ	جھاڑیاں
صاف	صافیاں
جھڑک	جھڑکیاں
سوار	سواراں
بہار	بہاراں
دیوار	دیواریں
ملامت	ملامتیں
واردات	وارداتیں
ڈھل	ڈھلک
غم	غمناک
افسوس	افسوسناک
خوف	خوفناک
شرم	شرمناک
تاب	تابناک
Accuracy of Stem file words
Accurate words are: 59 out of 59 words
Accuracy percentage is 100.0
